Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./mergedHard/EQ_AddEQ_odd/libA , equiv; 0.184000, equiv; 0.320500
./mergedHard/EQ_AddEQ_pos/libA , equiv; 0.213800, equiv; 0.332800
./mergedHard/EQ_AddEQ_pos2/libA , equiv; 0.212200, equiv; 0.366600
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA , equiv; 0.489400, equiv; 0.632400
./mergedHard/EQ_ConstEQ_LoopMult20/libA , equiv; 0.183500, equiv; 0.342700
./mergedHard/EQ_ConstEQ_UnchLoop/libA , equiv; 0.164500, equiv; 0.317300
./mergedHard/EQ_ConstEQ_odd/libA , equiv; 0.184000, equiv; 0.329500
./mergedHard/EQ_ConstEQ_pos/libA , equiv; 0.216300, equiv; 0.364900
./mergedHard/EQ_ConstEQ_pos2/libA , equiv; 0.218800, equiv; 0.380400
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA , equiv; 0.505700, equiv; 0.669000
./mergedHard/EQ_LoopMult20EQ_Add/libA , equiv; 0.612200, equiv; 0.944500
./mergedHard/EQ_LoopMult20EQ_Const/libA , equiv; 0.608500, equiv; 0.935700
