Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_posNEQ_getSign/libA , not equiv; 0.739900, not equiv; 0.200900, not equiv; 0.030000
./nestedMerge/EXTRA_ultra_prime_sumEQ_Add/libA , equiv; 0.360600, timeout; 300.000000, equiv; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_Const/libA , equiv; 0.392800, timeout; 300.000000, equiv; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopMult20/libA , equiv; 3.850900, timeout; 300.000000, timeout; 300.000000
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopUnreach20/libA , equiv; 2.660000, timeout; 300.000000, equiv; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_UnchLoop/libA , equiv; 80.682200, timeout; 300.000000, timeout; 300.000000
./nestedMerge/EXTRA_ultra_prime_sumEQ_divide/libA , equiv; 0.530600, timeout; 300.000000, equiv; 0.060000
./nestedMerge/EXTRA_ultra_prime_sumEQ_getSign2/libA , equiv; 2.465100, timeout; 300.000000, equiv; 0.050000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime1/libA , equiv; 2.488400, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime2/libA , timeout; 300.000000, not equiv; 0.705900, unknown; 0.030000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime3/libA , equiv; 4.955900, timeout; 300.000000, unknown; 0.030000
./nestedMerge/EXTRA_ultra_prime_sumEQ_ltfive/libA , equiv; 52.547800, timeout; 300.000000, equiv; 0.100000
./nestedMerge/EXTRA_ultra_prime_sumEQ_ltfiveBound/libA , equiv; 1.767700, timeout; 300.000000, equiv; 0.160000
./nestedMerge/EXTRA_ultra_prime_sumEQ_multiple/libA , equiv; 59.857500, timeout; 300.000000, equiv; 0.030000
./nestedMerge/EXTRA_ultra_prime_sumEQ_multipleBound/libA , equiv; 2.458500, timeout; 300.000000, equiv; 0.040000
./nestedMerge/EXTRA_ultra_prime_sumEQ_odd/libA , equiv; 25.042300, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_one/libA , not equiv; 2.759300, not equiv; 0.148500, not equiv; 0.040000
./nestedMerge/EXTRA_ultra_prime_sumEQ_oneBound/libA , equiv; 1.655200, timeout; 300.000000, equiv; 0.080000
./nestedMerge/EXTRA_ultra_prime_sumEQ_oneN2/libA , equiv; 30.699200, timeout; 300.000000, equiv; 0.050000
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos/libA , equiv; 33.701700, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos2/libA , equiv; 1.017300, timeout; 300.000000, equiv; 0.130000
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos3/libA , equiv; 2.433900, timeout; 300.000000, equiv; 0.050000
./nestedMerge/EXTRA_ultra_prime_sumEXTRA_ultra_prime_sum/libA , equiv; 143.143700, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EXTRA_ultra_prime_sumNEQ_LoopMult20/libA , equiv; 59.480800, timeout; 300.000000, timeout; 300.000000
./nestedMerge/EXTRA_ultra_prime_sumNEQ_LoopUnreach20/libA , not equiv; 4.893000, not equiv; 0.279000, not equiv; 0.430000
./nestedMerge/EXTRA_ultra_prime_sumNEQ_getSign/libA , not equiv; 1.139000, not equiv; 0.142300, not equiv; 0.030000
./nestedMerge/NEQ_LoopMult20EQ_LoopMult20/libA , equiv; 1.802900, equiv; 0.389900, timeout; 300.000000
./nestedMerge/NEQ_LoopMult20EQ_UnchLoop/libA , equiv; 40.324300, equiv; 0.141600, equiv; 0.360000
./nestedMerge/NEQ_LoopMult20EQ_odd/libA , equiv; 1.127800, equiv; 0.253700, unknown; 0.020000
./nestedMerge/NEQ_LoopMult20EQ_pos/libA , equiv; 0.681100, equiv; 0.426200, unknown; 0.020000
./nestedMerge/NEQ_LoopMult20EQ_pos2/libA , equiv; 0.295300, equiv; 0.429100, not equiv; 0.030000
./nestedMerge/NEQ_LoopMult20EXTRA_ultra_prime_sum/libA , equiv; 78.037000, equiv; 0.398600, unknown; 1.230000
./nestedMerge/NEQ_LoopUnreach20EQ_LoopMult20/libA , equiv; 1.827400, equiv; 0.398600, timeout; 300.000000
./nestedMerge/NEQ_LoopUnreach20EQ_UnchLoop/libA , equiv; 40.310800, equiv; 0.142100, equiv; 0.360000
./nestedMerge/NEQ_LoopUnreach20EQ_odd/libA , equiv; 1.118300, equiv; 0.250000, unknown; 0.020000
./nestedMerge/NEQ_LoopUnreach20EQ_pos/libA , equiv; 0.680900, equiv; 0.424100, unknown; 0.010000
./nestedMerge/NEQ_LoopUnreach20EQ_pos2/libA , equiv; 0.290300, equiv; 0.431100, not equiv; 0.030000
./nestedMerge/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libA , equiv; 83.804100, equiv; 0.404600, unknown; 1.220000
./nestedMerge/NEQ_getSignEQ_LoopMult20/libA , equiv; 1.796700, equiv; 0.399700, timeout; 300.000000
./nestedMerge/NEQ_getSignEQ_UnchLoop/libA , equiv; 40.309800, equiv; 0.104700, equiv; 0.290000
./nestedMerge/NEQ_getSignEQ_odd/libA , equiv; 12.482400, timeout; 300.000000, unknown; 0.020000
./nestedMerge/NEQ_getSignEQ_pos/libA , equiv; 11.303300, timeout; 300.000000, unknown; 0.010000
./nestedMerge/NEQ_getSignEQ_pos2/libA , equiv; 0.278400, timeout; 300.000000, not equiv; 0.030000
./nestedMerge/NEQ_getSignEXTRA_ultra_prime_sum/libA , equiv; 76.374700, timeout; 300.000000, unknown; 0.160000
